 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100
1,16158.6,17362.9,17571.1,17953.5,18146.6,18603.2,18832.5,18739.6,18703.2,19139.6,19809.1,20223.5,20430.6,20526.1,20403.2,20441.1,21123.8,21881.8,22179.7,22099.7,22114.4,22452.7,22541.3,21798.6,21162.5,20828.3,21213.3,22351.7,23245.3,23914.5,24405.9,24964.2,25662.5,26648.7,27449.0,27430.1,27074.2,26853.2,26618.2,25993.6,24590.4,23271.4,22640.1,22033.2,21268.7,20910.0,21311.5,22013.6,21810.9,21080.9,20552.2,19772.6,19178.5,19011.3,18835.1,18634.1,18729.7,19128.7,18917.9,19161.8,20045.4,20519.5,20859.8,21057.4,21102.0,21081.6,21152.3,21433.2,21016.2,20133.7,19745.7,19588.7,19691.3,19740.6,19846.5,19765.6,19570.2,19629.3,19102.5,18853.4,18818.1,18368.5,18347.5,18423.7,18595.0,18777.5,18889.1,18924.6,18864.3,18786.9,18643.2,18251.9,17817.2,17603.2,17671.7,17778.2,17202.6,16413.8,16057.4,15984.1
2,16158.9,17363.3,17571.3,17954.1,18149.2,18605.8,18832.7,18740.5,18706.0,19140.6,19808.7,20226.3,20434.6,20529.4,20405.7,20440.4,21121.6,21881.4,22179.4,22096.7,22111.6,22454.1,22540.9,21798.3,21164.0,20827.1,21211.0,22351.3,23245.7,23913.5,24406.2,24962.8,25659.9,26645.4,27444.4,27427.3,27072.4,26850.9,26617.5,25994.6,24589.1,23270.0,22638.9,22033.2,21272.0,20912.0,21312.1,22014.0,21810.5,21082.1,20553.7,19772.3,19176.2,19010.0,18835.7,18633.9,18728.8,19128.0,18917.5,19162.0,20045.4,20518.8,20858.2,21053.7,21097.1,21080.4,21154.4,21434.0,21018.1,20132.9,19743.9,19586.9,19688.6,19741.6,19847.9,19765.6,19572.3,19632.7,19104.7,18855.0,18821.4,18370.2,18346.6,18423.8,18594.1,18777.7,18892.0,18924.9,18865.1,18788.5,18641.5,18249.8,17816.3,17603.7,17672.2,17777.0,17202.3,16414.4,16057.7,15985.2
3,16161.4,17365.2,17573.6,17958.6,18152.3,18608.4,18838.0,18745.6,18709.2,19144.5,19811.4,20228.7,20436.1,20530.9,20409.2,20444.1,21125.3,21884.3,22183.4,22100.1,22112.0,22457.0,22543.7,21801.1,21166.1,20826.6,21210.7,22354.8,23249.6,23916.5,24407.9,24962.4,25662.8,26650.2,27449.1,27433.9,27076.6,26852.6,26619.1,25998.0,24592.4,23271.2,22639.0,22033.2,21273.3,20910.0,21309.1,22014.1,21813.2,21084.1,20555.0,19773.9,19178.1,19011.4,18838.6,18635.1,18730.0,19129.6,18920.0,19166.9,20050.1,20521.1,20859.0,21051.5,21094.5,21081.4,21158.1,21438.5,21021.4,20134.8,19745.0,19590.3,19691.1,19740.4,19847.7,19767.6,19574.2,19633.7,19107.8,18858.3,18823.2,18373.3,18352.6,18427.4,18594.2,18780.2,18894.6,18924.7,18866.4,18792.2,18643.5,18248.7,17817.6,17608.5,17678.0,17780.7,17203.8,16414.0,16056.6,15986.6
4,16166.2,17368.3,17577.2,17962.2,18152.2,18610.1,18839.1,18745.6,18709.0,19143.6,19809.8,20229.5,20440.1,20533.6,20412.2,20444.6,21122.7,21883.6,22182.6,22099.7,22113.7,22460.3,22546.2,21803.4,21169.3,20829.5,21213.2,22356.3,23253.6,23919.6,24408.0,24963.4,25669.0,26655.4,27451.9,27438.6,27081.9,26855.9,26624.3,26002.8,24593.9,23273.3,22640.2,22033.3,21275.0,20911.5,21311.3,22016.1,21813.9,21085.4,20556.8,19774.7,19179.8,19015.9,18842.8,18637.3,18733.0,19133.6,18918.7,19165.0,20050.2,20520.9,20863.3,21056.9,21096.8,21085.3,21163.9,21443.3,21023.1,20136.2,19747.6,19592.2,19692.8,19741.2,19845.8,19765.7,19573.3,19633.6,19108.2,18861.9,18826.9,18374.0,18354.7,18429.1,18595.3,18781.8,18897.5,18928.0,18870.3,18797.1,18648.0,18253.9,17821.9,17611.6,17684.1,17785.2,17203.4,16412.3,16056.5,15987.3
5,19735.2,21202.3,21456.5,21896.5,22130.1,22678.4,22894.3,22696.6,22589.2,23065.2,23806.6,24247.0,24443.0,24509.7,24274.7,24225.4,24991.9,25838.5,26125.6,25969.6,25913.6,26117.1,26011.2,25179.7,24513.1,24011.1,24351.8,25557.5,26413.6,26986.1,27331.3,27706.4,28203.1,28971.8,29596.4,29524.8,29246.7,29200.0,29190.8,28790.1,27651.6,26540.1,26018.0,25463.3,24682.2,24268.0,24599.5,25193.9,25015.4,24403.6,23928.2,23085.7,22379.0,22164.4,21944.2,21680.1,21768.5,22213.1,21946.8,22217.7,23214.4,23728.3,24132.2,24370.7,24402.2,24354.0,24320.0,24447.4,24027.8,23219.0,22804.6,22635.0,22765.8,22838.1,22960.4,22877.7,22686.9,22777.7,22172.5,21897.1,21859.9,21324.3,21282.9,21349.2,21514.6,21725.1,21881.5,21949.8,21942.4,21912.6,21779.4,21351.7,20858.0,20604.4,20601.2,20569.3,19928.2,19135.8,18709.5,18564.6
6,23360.0,25093.5,25395.9,25890.8,26169.1,26814.9,27017.3,26712.9,26536.7,27052.5,27865.9,28328.8,28514.5,28554.2,28199.8,28067.7,28925.6,29859.1,30133.6,29903.8,29776.5,29832.2,29530.1,28609.7,27912.8,27247.4,27542.5,28811.4,29623.2,30098.8,30302.4,30497.4,30772.0,31317.7,31774.1,31642.0,31441.6,31580.9,31798.6,31624.8,30760.4,29861.1,29450.4,28951.1,28151.4,27681.2,27940.8,28427.3,28275.6,27779.5,27356.5,26448.3,25627.4,25363.0,25095.4,24774.6,24850.8,25340.5,25024.9,25319.1,26429.7,26987.5,27455.0,27736.6,27760.3,27671.9,27523.5,27496.5,27079.5,26352.0,25910.1,25722.0,25884.8,25986.3,26127.7,26043.5,25852.2,25971.0,25288.1,24984.3,24945.0,24322.3,24255.5,24316.2,24484.8,24718.1,24913.7,25021.1,25065.5,25077.5,24959.1,24500.9,23940.9,23643.9,23566.3,23397.3,22698.5,21907.5,21408.7,21185.4
7,27003.7,29009.5,29359.0,29908.3,30230.3,30971.0,31161.0,30751.6,30506.2,31060.3,31946.4,32429.9,32601.8,32614.7,32145.7,31932.3,32879.4,33897.1,34158.1,33854.2,33654.8,33567.5,33068.4,32056.8,31327.2,30498.4,30749.7,32083.0,32850.3,33226.5,33288.8,33302.0,33354.1,33678.8,33962.5,33769.5,33651.0,33973.9,34416.9,34472.1,33885.5,33199.8,32903.0,32458.3,31635.0,31106.8,31295.7,31672.4,31545.6,31171.6,30803.9,29832.0,28895.1,28579.0,28260.8,27882.7,27950.5,28481.1,28118.8,28440.8,29662.2,30264.9,30795.8,31118.3,31132.4,31007.3,30747.4,30564.7,30147.9,29501.4,29033.1,28828.7,29023.7,29151.2,29313.5,29229.2,29037.3,29184.5,28421.0,28082.7,28042.1,27336.5,27246.1,27301.5,27470.0,27724.8,27961.4,28108.0,28201.1,28258.3,28157.2,27662.7,27039.5,26701.0,26546.2,26239.9,25483.3,24688.8,24116.1,23817.7
8,26989.0,28993.1,29349.0,29898.2,30216.8,30962.2,31151.2,30743.6,30501.1,31054.9,31939.7,32424.8,32599.6,32614.2,32144.7,31933.7,32881.9,33901.3,34161.6,33859.0,33659.6,33570.1,33073.2,32062.9,31333.7,30506.1,30756.6,32085.9,32849.4,33225.1,33293.4,33307.4,33353.8,33679.7,33968.7,33777.5,33656.9,33982.7,34427.8,34479.7,33894.1,33209.0,32908.5,32462.4,31637.7,31106.7,31292.3,31669.1,31546.1,31170.6,30798.4,29825.7,28890.1,28573.8,28255.6,27880.1,27946.7,28475.5,28111.4,28432.1,29654.2,30256.4,30784.4,31106.4,31121.4,30998.0,30741.4,30557.5,30141.6,29496.1,29028.0,28822.5,29017.2,29148.5,29311.9,29230.7,29037.7,29180.4,28418.2,28079.9,28042.4,27341.3,27251.0,27307.1,27471.7,27721.1,27954.6,28098.6,28187.4,28239.8,28135.5,27638.6,27013.2,26673.9,26522.5,26214.4,25458.9,24666.8,24096.5,23803.8
9,26982.8,28988.4,29344.9,29893.0,30216.1,30962.1,31145.9,30737.1,30496.9,31056.8,31943.6,32425.7,32600.1,32615.4,32148.8,31941.2,32892.7,33911.7,34166.1,33864.6,33668.1,33579.0,33081.9,32070.8,31343.0,30517.9,30770.8,32099.1,32858.2,33233.6,33302.6,33314.3,33362.4,33691.0,33977.3,33788.8,33673.2,33997.6,34441.2,34493.7,33906.5,33221.4,32922.3,32471.5,31643.2,31110.9,31295.7,31669.6,31545.9,31174.3,30802.8,29830.4,28895.1,28578.1,28259.7,27881.7,27945.9,28471.8,28108.0,28429.2,29649.7,30251.5,30782.0,31104.7,31114.6,30991.3,30736.6,30552.8,30136.8,29494.4,29029.7,28825.5,29018.6,29149.7,29314.3,29230.8,29040.1,29185.5,28420.2,28079.0,28044.2,27347.4,27256.4,27311.3,27471.5,27717.6,27950.2,28091.7,28176.1,28227.0,28118.8,27615.0,26990.9,26652.7,26498.3,26190.3,25435.9,24644.3,24079.3,23791.3
10,26976.5,28979.3,29337.5,29885.8,30211.0,30962.5,31146.7,30737.4,30495.4,31056.3,31945.4,32430.6,32606.7,32620.1,32152.2,31947.8,32902.7,33923.3,34178.2,33876.6,33682.1,33588.6,33089.7,32082.2,31357.6,30534.3,30784.6,32110.7,32870.6,33244.2,33311.9,33323.8,33372.1,33704.1,33993.2,33802.9,33689.8,34013.5,34453.9,34508.8,33919.8,33233.0,32931.8,32479.5,31650.8,31116.9,31299.4,31671.2,31549.4,31178.9,30806.0,29833.0,28899.0,28580.5,28264.4,27884.7,27946.3,28473.3,28106.4,28426.3,29645.3,30246.2,30776.3,31098.2,31109.5,30987.6,30733.3,30549.7,30135.5,29492.9,29027.7,28826.1,29017.2,29148.7,29313.1,29226.8,29037.8,29185.0,28420.1,28083.8,28049.6,27349.8,27257.3,27312.6,27473.3,27722.0,27951.2,28084.5,28166.0,28212.7,28096.9,27592.9,26967.8,26626.4,26473.4,26163.6,25410.8,24626.6,24064.8,23779.1
