 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100
1,15515.7,16681.6,16740.3,17171.3,17198.8,17410.2,17707.1,17437.5,17229.7,17531.5,18045.2,18397.2,18602.5,18603.7,18475.0,18403.1,18868.3,19584.2,19848.1,19783.3,19779.4,19999.1,20395.1,19867.3,19010.7,18733.3,19115.4,20144.8,21064.8,21860.8,22467.8,23099.9,23920.2,25086.5,26226.5,26489.7,26160.3,25848.4,25399.6,24732.3,23200.3,21531.0,20757.8,20123.7,19362.0,18927.6,19210.7,20052.1,20035.9,19163.8,18646.3,18046.1,17405.3,17245.1,17106.3,16930.5,16994.0,17364.9,17201.7,17437.8,18243.5,18728.2,19087.7,19286.9,19365.4,19349.2,19362.6,19810.1,19559.2,18648.7,18249.2,18089.8,18159.0,18230.8,18328.8,18277.2,18107.9,18140.4,17686.5,17465.6,17437.9,16975.2,16858.0,16880.2,17008.1,17213.7,17401.9,17509.5,17613.7,17703.0,17691.7,17445.3,17093.1,16880.9,16838.9,17040.5,16463.7,15463.4,15030.2,14824.6
2,15514.6,16678.7,16737.7,17168.4,17198.5,17413.5,17712.3,17441.2,17229.2,17528.6,18043.8,18394.5,18600.4,18604.8,18473.9,18400.3,18866.8,19583.0,19848.1,19784.8,19779.1,19997.6,20394.1,19867.5,19010.6,18731.3,19113.3,20144.6,21064.5,21860.7,22468.8,23098.0,23920.4,25086.6,26222.9,26484.0,26157.1,25844.8,25396.2,24726.9,23192.6,21525.2,20757.0,20123.7,19359.4,18925.4,19209.2,20052.4,20035.5,19161.3,18644.4,18045.6,17407.7,17249.2,17108.2,16931.7,16994.3,17364.7,17201.0,17437.5,18244.4,18728.1,19086.7,19285.3,19367.2,19348.9,19360.2,19810.1,19558.6,18648.6,18249.6,18088.0,18157.6,18228.1,18326.2,18276.8,18105.4,18136.7,17685.0,17467.3,17441.0,16975.6,16856.4,16881.3,17008.6,17210.5,17399.4,17506.7,17611.3,17702.0,17692.8,17447.6,17094.9,16882.0,16840.3,17040.0,16462.4,15464.5,15031.8,14824.3
3,15519.9,16683.5,16741.1,17170.9,17200.3,17414.2,17714.1,17445.0,17230.6,17527.8,18044.5,18395.4,18599.4,18603.7,18475.0,18402.1,18868.1,19584.2,19850.2,19786.2,19781.0,19997.3,20392.9,19870.8,19013.1,18731.8,19114.0,20144.7,21064.4,21857.3,22466.9,23099.9,23924.0,25090.6,26223.7,26481.5,26156.3,25844.2,25392.0,24723.0,23190.5,21524.2,20755.3,20119.4,19357.1,18927.3,19210.5,20054.1,20034.5,19161.3,18644.5,18043.8,17408.3,17251.8,17111.5,16933.7,16996.0,17366.0,17200.6,17437.9,18245.9,18727.3,19084.7,19285.1,19368.0,19347.5,19360.1,19810.8,19557.4,18646.5,18248.9,18087.6,18158.3,18230.6,18329.0,18278.0,18104.9,18137.1,17682.6,17465.6,17440.8,16976.4,16858.2,16883.1,17009.6,17211.2,17402.1,17508.3,17608.9,17699.5,17691.8,17448.7,17096.7,16883.1,16841.7,17039.9,16462.4,15463.6,15031.3,14825.2
4,15526.3,16689.4,16745.8,17175.7,17202.1,17416.1,17716.8,17448.4,17232.5,17527.4,18044.5,18397.2,18603.5,18606.1,18475.2,18404.5,18870.8,19585.1,19849.1,19787.5,19781.4,19997.2,20392.0,19870.1,19014.1,18734.4,19117.2,20145.5,21064.4,21857.0,22469.7,23104.4,23926.9,25091.4,26223.6,26479.9,26155.5,25844.8,25392.1,24722.0,23192.0,21527.3,20756.9,20122.4,19361.4,18929.8,19210.4,20052.4,20033.4,19163.1,18646.1,18044.4,17409.8,17254.3,17111.5,16933.2,16996.9,17364.6,17197.1,17435.5,18244.2,18725.5,19084.0,19285.8,19368.9,19348.6,19362.8,19813.4,19558.9,18648.2,18249.6,18087.9,18159.8,18231.6,18329.9,18277.4,18104.4,18138.7,17682.6,17464.8,17440.9,16977.7,16859.4,16882.8,17008.9,17212.0,17404.3,17511.3,17611.1,17699.7,17690.9,17448.0,17097.0,16882.3,16840.9,17037.4,16459.7,15464.2,15033.3,14824.9
5,15526.3,16688.9,16744.8,17176.5,17202.3,17412.4,17713.4,17447.0,17232.4,17529.4,18045.7,18397.3,18603.1,18604.3,18475.6,18401.9,18867.3,19585.1,19846.7,19782.3,19780.7,19999.1,20390.1,19867.1,19014.8,18736.6,19118.5,20142.3,21060.7,21854.7,22467.0,23101.3,23922.7,25086.3,26218.5,26476.7,26152.0,25839.3,25389.1,24723.1,23193.0,21528.0,20755.3,20119.7,19358.4,18926.1,19205.6,20051.4,20035.0,19164.1,18646.9,18043.0,17406.9,17251.7,17110.7,16931.6,16995.0,17362.3,17194.7,17432.8,18241.0,18724.0,19082.2,19281.9,19363.2,19345.4,19361.9,19811.8,19554.7,18644.4,18247.6,18087.0,18156.7,18227.4,18327.1,18276.1,18104.3,18137.5,17680.7,17462.6,17437.9,16975.1,16859.2,16880.3,17008.2,17215.0,17402.6,17506.7,17608.6,17700.6,17689.1,17444.0,17096.0,16881.5,16839.0,17036.8,16460.7,15464.3,15032.6,14824.7
6,15524.2,16687.6,16744.3,17177.0,17202.9,17412.3,17711.6,17444.8,17231.9,17529.3,18044.4,18396.1,18602.4,18603.2,18473.7,18394.8,18861.2,19583.3,19844.7,19781.5,19778.0,19997.0,20392.2,19867.3,19012.8,18735.4,19116.0,20139.9,21058.4,21856.1,22465.1,23096.0,23919.6,25085.5,26218.1,26474.1,26147.5,25837.2,25388.8,24721.5,23191.2,21527.4,20756.6,20121.7,19358.2,18924.6,19204.4,20046.8,20030.5,19162.1,18647.6,18044.3,17406.0,17250.5,17110.0,16928.9,16990.2,17359.6,17194.7,17430.0,18236.2,18720.6,19080.2,19277.9,19359.2,19344.7,19359.5,19809.0,19553.8,18643.6,18245.8,18086.0,18155.6,18223.8,18321.9,18272.4,18102.7,18135.1,17680.1,17462.9,17435.4,16971.0,16856.1,16878.1,17006.4,17215.2,17401.7,17504.2,17607.4,17700.1,17687.9,17440.8,17093.0,16878.3,16834.8,17034.7,16459.5,15461.6,15028.7,14821.2
7,15522.2,16683.7,16741.8,17177.0,17203.5,17411.1,17710.2,17443.5,17230.9,17530.6,18045.8,18394.7,18598.7,18604.3,18474.9,18386.8,18853.9,19581.0,19844.5,19780.3,19775.9,19993.9,20390.5,19866.4,19011.9,18731.4,19109.1,20138.0,21057.7,21852.7,22458.8,23089.2,23915.9,25083.5,26216.2,26473.3,26145.8,25834.8,25387.8,24720.9,23185.5,21521.2,20754.1,20119.0,19354.0,18918.6,19199.9,20046.2,20029.9,19160.9,18646.1,18042.7,17405.8,17250.4,17110.8,16927.5,16985.3,17357.2,17197.3,17429.5,18234.5,18720.8,19078.4,19273.8,19355.0,19342.1,19356.6,19804.1,19548.2,18640.5,18243.5,18081.6,18152.0,18222.0,18320.8,18271.5,18099.5,18128.9,17676.5,17462.3,17432.2,16966.5,16856.2,16877.5,17005.1,17214.8,17400.2,17502.9,17606.0,17699.7,17685.8,17437.3,17091.7,16877.4,16832.7,17034.3,16459.9,15460.3,15027.2,14820.8
8,15454.1,16610.4,16667.8,17101.7,17126.8,17332.9,17630.3,17363.0,17149.3,17445.4,17957.1,18304.4,18507.7,18511.9,18381.8,18293.1,18758.5,19483.8,19744.5,19677.7,19672.3,19891.6,20294.3,19775.4,18917.4,18636.3,19012.0,20039.5,20956.0,21747.6,22356.2,22990.5,23820.6,24992.3,26129.6,26389.3,26059.9,25745.8,25290.7,24619.7,23081.0,21414.9,20649.1,20013.0,19254.0,18822.7,19105.9,19952.9,19933.0,19065.0,18551.0,17950.6,17317.7,17161.9,17023.3,16844.7,16901.8,17270.2,17113.2,17342.6,18143.3,18628.4,18983.0,19177.9,19258.4,19244.9,19261.0,19710.2,19458.2,18550.5,18151.0,17990.4,18063.8,18134.5,18230.7,18179.4,18006.3,18035.0,17588.5,17375.7,17348.5,16888.3,16776.2,16798.1,16924.1,17129.8,17316.6,17422.2,17521.6,17608.4,17597.6,17351.7,17004.2,16789.9,16746.8,16954.5,16383.2,15384.4,14955.6,14754.3
9,15382.9,16532.7,16592.6,17026.1,17046.8,17251.2,17548.0,17280.3,17064.9,17357.5,17868.2,18215.0,18416.5,18420.2,18286.7,18196.9,18661.7,19383.9,19641.9,19573.6,19566.5,19786.9,20193.9,19679.4,18824.9,18545.3,18918.3,19939.8,20851.7,21641.1,22250.1,22887.4,23720.0,24896.1,26038.3,26301.4,25970.3,25650.5,25191.2,24517.5,22974.4,21305.5,20538.9,19906.4,19152.6,18721.9,19009.0,19860.5,19838.4,18968.7,18453.9,17855.0,17225.7,17074.9,16936.9,16757.7,16814.9,17181.8,17025.7,17254.2,18052.1,18534.1,18884.9,19078.6,19159.7,19146.3,19162.6,19614.6,19365.0,18457.5,18056.6,17895.5,17971.1,18043.4,18140.8,18089.2,17915.3,17944.2,17499.2,17285.9,17262.6,16806.0,16692.7,16713.7,16841.6,17045.5,17229.7,17335.7,17433.4,17517.0,17504.7,17262.5,16917.9,16704.0,16663.7,16875.1,16306.1,15310.4,14886.6,14687.3
10,15308.3,16453.8,16515.1,16944.6,16963.0,17167.1,17463.4,17197.2,16982.5,17268.0,17776.7,18124.9,18324.0,18324.6,18189.8,18100.2,18562.9,19282.2,19537.1,19469.0,19464.0,19685.1,20096.5,19584.9,18727.7,18451.7,18823.1,19836.1,20747.5,21535.7,22144.7,22787.1,23624.3,24802.4,25948.1,26216.2,25884.1,25557.9,25093.6,24417.6,22871.9,21201.8,20433.2,19801.1,19050.9,18622.2,18911.8,19764.8,19740.8,18869.8,18358.2,17762.0,17133.3,16985.0,16848.0,16672.0,16731.4,17094.9,16937.4,17165.4,17959.0,18437.0,18787.2,18979.7,19059.7,19047.8,19065.5,19519.7,19274.8,18367.2,17966.3,17807.2,17879.3,17951.8,18049.2,17996.0,17825.8,17856.5,17409.6,17196.3,17176.1,16722.3,16609.8,16633.4,16762.5,16963.7,17142.3,17247.2,17345.9,17428.1,17415.7,17175.0,16831.8,16619.0,16580.8,16795.5,16229.0,15235.6,14815.3,14617.0
